"Product ID";"Name";"Category ";"Category Name";"Price tax excl.";"Tax rules ID";"Wholesale price";"Description";"url_image"
"18398";"WONDER CELLO TAPE 1 INCH";"535";"Tapes & Dispensers";"13.000000";"0";"13.000000";"<p>Self Adhesive Tape, It fits perfectly in the tape dispenser and can be use for packing, binding, sealings and much more, Best stands for heat, humidity and cold, high quality with long self life.</p>";"http://venustradersonline.com/img/p/4/7/9/5/4795.jpg"
"19022";"DEER DOUBLE SIDED FOAM TAPE1 INCH";"535";"Tapes & Dispensers";"22.000000";"0";"22.000000";"<p>Double Sided Foam tape is regularly used in Mounting, Stationery, Arts &amp; Crafts.</p>";"http://venustradersonline.com/img/p/4/7/6/4/4764.jpg"
"19046";"ALKOSIGN NONMAGNETIC DUSTER ABD-3";"486";"Duster";"75.000000";"0";"75.000000";"<p>Non Magnetic Board Duster does not hold on Steel surface.</p>";"http://venustradersonline.com/img/p/4/4/3/5/4435.jpg"
"19060";"FEVICRYL FABRIC GLUE 30ML 320";"549";"Glues & Adhesives";"19.000000";"0";"19.000000";"<p>It is used for stitching decorative articles like mirrors, beads, cords, sequins, threads, etc. onto fabric. This glue binds decorative material firmly to the fabric, which makes the design stay longer. <br />Highly effective and retains the original softness of the fabric. Safe to use.</p>";"http://venustradersonline.com/img/p/4/8/4/3/4843.jpg"
"19159";"MONTEX MEGA TOP BALL PEN BLACK";"225";"Ball Pens";"10.000000";"0";"10.000000";;"http://venustradersonline.com/img/p/3/9/7/0/3970.jpg"
"19160";"MONTEX MEGA TOP BALL PEN BLUE";"225";"Ball Pens";"10.000000";"0";"10.000000";;"http://venustradersonline.com/img/p/3/9/6/9/3969.jpg"
"19169";"MONTEX MEGA TOP BALL PEN RED";"225";"Ball Pens";"10.000000";"0";"10.000000";;"http://venustradersonline.com/img/p/3/9/7/2/3972.jpg"
"19169";"MONTEX MEGA TOP BALL PEN RED";"225";"Ball Pens";"10.000000";"0";"10.000000";;"http://venustradersonline.com/img/p/3/9/8/0/3980.jpg"
"19331";"TEJCO MAGNIFIER NO-102 -50 MM-";"582";"Magnifier";"124.000000";"0";"124.000000";"<p>Magnifier use to see the small objects in larger size. It is a convex lens that is used to produce a magnified image of an object.</p>";"http://venustradersonline.com/img/p/4/9/6/1/4961.jpg"
"19334";"TEJCO MAGNIFIER NO-103 -63MM-";"582";"Magnifier";"192.000000";"0";"192.000000";"<p>Magnifier use to see the small objects in larger size. It is a convex lens that is used to produce a magnified image of an object.</p>";"http://venustradersonline.com/img/p/4/9/6/2/4962.jpg"
"19336";"TEJCO MAGNIFIER NO-106 -100MM-";"582";"Magnifier";"384.000000";"0";"384.000000";"<p>Magnifier use to see the small objects in larger size. It is a convex lens that is used to produce a magnified image of an object.</p>";"http://venustradersonline.com/img/p/4/9/6/3/4963.jpg"
"19702";"WONDER CELLO TAPE 1-5 INCH";"535";"Tapes & Dispensers";"21.000000";"0";"21.000000";"<p>Self Adhesive Tape, It fits perfectly in the tape dispenser and can be use for packing, binding, sealings and much more, Best stands for heat, humidity and cold, high quality with long self life.</p>";"http://venustradersonline.com/img/p/4/7/9/6/4796.jpg"
